Date,Time,Storagetank_Mixe,Storagetank_Feed,Digester_Mixer,Digester_Heater_,Digester_Heater_,Gaspump,Mode_Stop,Mode_Manual,Mode_Auto,System_Started
24/01/17,11:32:26,0,0,1,1,1,0,0,0,1,1
24/01/17,11:34:58,0,0,1,0,0,0,0,0,1,1
24/01/17,11:35:18,0,0,1,1,1,0,0,0,1,1
24/01/17,11:36:30,0,0,1,0,0,0,0,0,1,1
24/01/17,11:37:23,0,0,1,1,1,0,0,0,1,1
24/01/17,12:08:18,0,0,1,0,0,0,0,0,1,1
24/01/17,12:09:11,0,0,0,0,0,0,0,0,1,1
24/01/17,12:09:20,0,0,1,0,0,0,0,0,1,1
24/01/17,12:11:20,0,0,0,0,0,0,0,0,1,1
24/01/17,12:12:20,0,0,1,0,0,0,0,0,1,1
24/01/17,12:12:31,0,0,1,1,1,0,0,0,1,1
24/01/17,12:13:34,0,0,1,0,0,0,0,0,1,1
24/01/17,12:14:38,0,0,1,1,1,0,0,0,1,1
24/01/17,12:17:16,0,0,1,0,0,0,0,0,1,1
24/01/17,12:18:00,0,0,1,1,1,0,0,0,1,1
24/01/17,12:21:12,0,0,0,0,0,0,0,0,1,0
24/01/17,13:17:54,0,0,1,1,1,0,0,0,1,1
24/01/17,13:20:26,0,0,0,0,0,0,0,0,1,0
